customer_id,age,tenure_months,monthly_spend,usage_score,clv,am_quality,treatment,customer_retained,true_effect
CUST_000042,38.6,13.8,43.06,6.23,700.68,0.305,0,1,0.0
CUST_000043,36.4,1.6,25.92,4.38,42.35,-0.3678,0,0,0.0
CUST_000044,22.3,13.3,476.86,85.17,6256.33,-0.3406,2,1,1.7
CUST_000045,31.4,44.9,53.3,61.55,2195.3,-0.9236,1,1,0.5
CUST_000046,34.5,2.5,148.28,8.86,410.88,0.3236,1,1,0.8
CUST_000047,52.7,69.3,480.84,74.72,36372.78,0.2774,2,1,1.7
CUST_000048,44.1,8.9,54.24,78.53,519.3,-0.7021,1,0,0.5
CUST_000049,18.8,1.0,32.84,47.51,33.55,-0.1281,2,1,1.2
CUST_000050,43.9,7.0,368.57,53.94,3051.54,0.8416,1,0,0.5
CUST_000051,35.4,1.7,42.72,20.21,84.72,0.8782,2,0,1.2
CUST_000052,31.9,20.1,64.8,18.2,1320.55,-1.0592,2,1,1.2
CUST_000053,47.3,9.1,57.05,44.62,422.02,-0.7521,2,1,1.2
CUST_000054,52.4,39.5,101.88,21.44,4254.36,1.2809,2,1,1.7
CUST_000055,51.2,31.7,20.97,38.36,742.86,-1.4709,2,1,1.2
CUST_000056,29.9,15.2,148.08,62.39,2142.14,0.3157,1,0,0.5
CUST_000057,36.3,19.7,130.61,51.01,2440.01,-0.558,2,1,1.7
CUST_000058,44.0,22.5,179.86,10.2,4300.71,0.2864,1,0,0.8
CUST_000059,51.7,7.6,176.97,53.67,1096.27,0.3735,0,0,0.0
CUST_000060,34.2,3.6,129.43,48.08,550.07,-1.9944,1,0,0.5
CUST_000061,37.8,11.3,70.49,33.66,780.39,2.125,2,0,1.2
CUST_000062,26.7,2.4,94.34,8.3,225.27,0.4911,0,0,0.0
CUST_000063,25.6,9.1,53.44,52.18,393.24,-1.8079,0,0,0.0
CUST_000064,49.8,19.3,105.1,24.76,1984.44,0.4526,2,1,1.2
CUST_000065,56.3,18.6,47.84,33.14,932.56,0.4731,2,1,1.2
CUST_000066,39.1,3.1,100.44,10.23,251.53,-0.4592,2,0,1.2
CUST_000067,52.0,1.0,63.3,51.7,57.95,2.0329,2,1,1.2
CUST_000068,44.3,2.2,46.8,77.51,98.11,-0.6946,1,0,0.5
CUST_000069,32.3,1.0,208.55,42.02,202.83,-0.6585,1,0,0.5
CUST_000070,44.3,12.3,169.78,7.72,2147.74,-1.1822,0,0,0.0
CUST_000071,58.5,11.9,94.21,40.26,960.74,0.7553,2,1,1.2
CUST_000072,39.6,6.6,22.33,33.92,151.58,0.4898,2,1,1.2
CUST_000073,58.8,5.8,44.56,37.45,284.08,0.324,2,0,1.2
CUST_000074,18.0,12.1,84.64,36.0,1096.44,2.189,0,1,0.0
CUST_000075,49.9,2.2,131.42,78.14,229.85,0.4495,1,0,0.5
CUST_000076,41.0,5.8,133.17,60.99,891.91,0.8845,2,1,1.2
CUST_000077,36.4,12.5,108.36,7.98,1508.69,-2.1103,1,0,0.8
CUST_000078,41.1,2.4,92.24,41.95,194.92,-1.0454,0,0,0.0
CUST_000079,18.0,44.1,75.77,68.98,3995.58,0.7397,2,1,1.7
CUST_000080,37.4,27.0,54.45,73.01,1347.31,-1.6553,0,1,0.0
CUST_000081,44.3,11.6,338.48,38.16,3496.63,2.0809,1,0,0.5
CUST_000082,57.7,3.9,205.61,7.13,878.96,-0.0256,0,1,0.0
CUST_000083,33.8,5.2,143.48,30.47,858.72,-1.2032,1,1,0.5
CUST_000084,30.3,3.1,36.33,45.67,130.09,-0.8517,0,0,0.0
CUST_000085,34.0,4.2,34.95,44.6,160.04,-0.3856,0,1,0.0
CUST_000086,51.0,13.2,87.73,32.76,1230.7,-0.427,2,0,1.2
CUST_000087,43.9,6.8,59.69,13.9,374.02,0.0217,2,0,1.2
CUST_000088,33.6,51.8,36.18,45.96,1627.85,0.6922,2,1,1.2
CUST_000089,46.2,77.8,97.85,74.87,8549.37,0.7294,1,1,0.5
CUST_000090,41.2,28.2,20.0,24.26,653.01,0.8523,2,1,1.2
CUST_000091,51.6,39.7,83.68,10.11,3262.34,-1.0614,0,1,0.0
CUST_000092,31.6,7.1,135.31,4.7,846.24,-2.0286,1,1,0.8
CUST_000093,36.1,26.2,131.85,67.51,2927.2,-0.9297,2,1,1.7
CUST_000094,35.3,1.4,21.24,23.3,32.58,-0.8406,2,1,1.2
CUST_000095,22.4,77.4,20.45,18.59,1890.4,-1.0872,1,1,0.8
CUST_000096,43.6,26.6,75.94,45.03,1840.26,-0.3835,2,1,1.2
CUST_000097,43.1,9.1,54.33,40.38,449.89,-0.8967,1,1,0.5
CUST_000098,40.1,35.6,34.0,8.97,1329.28,-1.7169,0,0,0.0
CUST_000099,37.2,1.0,20.0,17.52,19.8,1.2179,1,0,0.8
CUST_000100,23.0,11.3,44.44,74.48,584.18,1.1218,2,1,1.2
CUST_000101,35.0,54.2,82.97,38.04,4628.57,0.3248,2,0,1.7
CUST_000102,35.9,7.3,74.52,65.6,640.57,-1.6983,0,0,0.0
CUST_000103,30.4,26.5,34.38,52.53,765.04,1.2603,2,0,1.2
CUST_000104,38.1,10.7,40.36,45.47,492.34,1.3267,0,1,0.0
CUST_000105,44.8,12.0,68.52,23.84,924.66,-1.2019,1,0,0.8
CUST_000106,62.6,32.9,46.37,30.19,1772.44,0.8574,2,0,1.2
CUST_000107,42.1,57.8,116.5,40.93,5621.38,2.3365,2,0,1.7
CUST_000108,43.1,4.4,140.81,20.28,697.24,-0.8368,1,0,0.8
CUST_000109,39.1,7.8,129.37,55.61,879.53,-0.6094,2,1,1.2
CUST_000110,18.0,16.1,37.52,39.41,569.39,0.1155,2,1,1.2
CUST_000111,39.7,22.8,117.55,28.69,2564.25,-0.1528,2,1,1.7
CUST_000112,40.7,15.1,119.98,23.59,1566.69,0.4169,2,1,1.2
CUST_000113,69.6,39.3,295.59,65.48,10049.68,-1.4527,0,0,0.0
CUST_000114,37.7,35.1,436.82,41.36,16415.41,-0.1302,2,1,1.7
CUST_000115,43.6,12.5,242.77,9.47,2836.08,-2.139,2,1,1.7
CUST_000116,39.6,1.0,62.42,29.49,70.24,0.3717,2,0,1.2
CUST_000117,26.0,5.2,48.55,30.12,301.36,-0.3601,2,1,1.2
CUST_000118,53.7,16.0,76.66,23.93,1305.02,1.1855,2,1,1.2
CUST_000119,49.0,63.0,56.97,48.92,3715.13,-0.0586,2,1,1.7
CUST_000120,49.5,20.1,480.69,25.84,9281.83,1.8439,0,0,0.0
CUST_000121,29.1,18.1,193.33,23.38,4200.73,0.4189,0,1,0.0
CUST_000122,56.8,30.9,148.17,28.46,5131.7,0.113,1,0,0.8
CUST_000123,23.2,4.0,171.16,44.93,643.12,-1.108,2,1,1.2
CUST_000124,47.0,3.8,269.57,27.74,935.98,-0.4358,1,1,0.8
CUST_000125,66.3,10.2,147.61,21.54,1701.73,-0.2251,0,0,0.0
CUST_000126,28.1,120.0,77.26,18.81,7674.38,1.2935,2,0,1.7
CUST_000127,33.2,50.1,162.98,57.84,7003.02,-0.2413,2,0,1.7
CUST_000128,41.2,27.4,161.89,48.7,4837.51,-0.2883,1,1,0.5
CUST_000129,34.0,11.9,36.83,49.91,436.3,0.6584,0,0,0.0
CUST_000130,21.4,19.4,614.39,45.11,10097.9,0.4248,2,1,1.7
CUST_000131,40.8,8.7,55.1,9.28,433.34,0.5397,0,0,0.0
CUST_000132,27.3,26.9,309.16,26.92,9165.2,-1.2795,0,0,0.0
CUST_000133,45.7,13.0,79.17,41.32,850.06,1.6361,2,0,1.2
CUST_000134,29.0,3.1,227.48,83.63,672.31,1.5307,1,1,0.5
CUST_000135,58.6,5.8,93.98,3.17,620.68,-0.6072,0,1,0.0
CUST_000136,30.6,22.5,28.37,21.28,654.51,0.7294,0,0,0.0
CUST_000137,36.1,28.5,211.74,15.71,6112.36,-0.753,0,0,0.0
CUST_000138,49.8,2.4,292.57,45.74,786.14,0.7573,0,0,0.0
CUST_000139,25.2,39.6,89.51,82.62,3653.35,-1.3764,0,0,0.0
CUST_000140,42.7,41.7,178.82,5.75,8542.98,-0.0631,2,1,1.7
CUST_000141,55.7,30.8,51.71,44.27,1513.5,-0.214,0,0,0.0
CUST_000142,20.7,27.6,94.67,21.08,2378.39,-0.31,1,0,0.8
CUST_000143,42.2,6.3,218.56,17.23,1565.24,-0.843,0,1,0.0
CUST_000144,43.1,60.5,122.22,56.91,6839.98,0.7367,2,1,1.7
CUST_000145,49.4,7.5,135.58,42.0,1209.0,-0.5647,1,0,0.5
CUST_000146,25.2,4.8,204.68,41.04,1072.19,-1.3293,1,0,0.5
CUST_000147,24.2,24.4,347.13,4.23,7269.06,-0.2225,2,1,1.7
CUST_000148,46.3,10.9,222.59,54.54,2809.67,0.0425,1,0,0.5
CUST_000149,43.6,64.9,117.38,40.03,6362.32,1.4095,2,1,1.7
CUST_000150,43.0,14.8,88.96,29.56,1271.08,-0.8972,0,0,0.0
CUST_000151,44.2,4.3,104.97,56.99,497.23,-0.3272,2,0,1.2
CUST_000152,31.8,75.8,32.23,69.45,2486.1,-1.2018,1,1,0.5
CUST_000153,42.8,17.4,111.54,6.53,2067.81,1.0011,1,1,0.8
CUST_000154,43.5,17.5,36.02,30.69,670.2,-0.6482,1,1,0.5
CUST_000155,31.4,11.7,66.74,79.12,640.93,-0.0613,1,0,0.5
CUST_000156,62.4,43.4,164.05,39.26,6388.58,1.3292,2,1,1.7
CUST_000157,45.7,8.1,65.7,23.25,478.85,1.5166,2,1,1.2
CUST_000158,25.7,1.0,277.87,84.82,318.8,-1.8723,0,0,0.0
CUST_000159,47.9,16.5,87.16,51.87,1692.53,-0.5901,2,1,1.2
CUST_000160,28.3,62.5,235.88,53.41,14663.03,-0.4977,2,1,1.7
CUST_000161,49.4,7.7,72.17,41.4,620.0,1.1882,1,1,0.5
CUST_000162,53.9,7.4,82.6,67.19,511.52,0.2582,1,1,0.5
CUST_000163,30.2,32.2,226.48,31.97,7434.09,0.5377,2,1,1.7
CUST_000164,51.6,35.9,78.12,45.04,3139.4,2.1698,1,1,0.5
CUST_000165,45.0,13.7,121.47,32.14,1413.82,-1.5379,0,0,0.0
CUST_000166,49.9,43.0,64.07,42.91,3082.31,0.2542,1,1,0.5
CUST_000167,62.8,4.5,20.0,32.79,85.05,0.3666,1,1,0.5
CUST_000168,37.1,11.0,55.84,22.83,570.43,-0.626,1,1,0.8
CUST_000169,31.0,12.4,289.95,22.38,3711.55,-1.6908,0,0,0.0
CUST_000170,29.3,9.0,117.73,24.76,1125.17,-0.5221,0,0,0.0
CUST_000171,30.2,5.9,184.0,31.9,1170.87,-0.9427,1,0,0.5
CUST_000172,39.1,9.9,189.39,28.75,2058.88,-1.559,0,0,0.0
CUST_000173,44.1,1.0,167.89,10.59,201.24,-0.0125,2,0,1.2
CUST_000174,43.3,29.2,322.52,48.67,9815.49,-0.4449,1,0,0.5
CUST_000175,49.9,27.6,69.77,67.27,2156.87,-2.0718,0,0,0.0
CUST_000176,40.2,14.4,295.35,81.51,4963.7,0.4786,2,1,1.7
CUST_000177,57.4,9.4,153.95,30.8,1439.83,-0.0208,1,0,0.5
CUST_000178,36.8,13.7,128.56,65.71,1739.15,-1.2092,2,1,1.2
CUST_000179,72.6,66.2,20.0,45.19,1181.64,0.2468,1,1,0.5
CUST_000180,47.5,22.2,124.14,60.21,2919.1,0.4066,0,1,0.0
CUST_000181,29.7,31.5,187.56,49.28,6438.67,-1.4847,1,0,0.5
CUST_000182,27.1,6.3,108.45,52.48,549.11,0.7089,1,0,0.5
CUST_000183,45.8,2.4,244.79,2.71,486.78,-0.5146,0,0,0.0
CUST_000184,37.3,2.1,253.77,41.7,459.35,-1.2745,0,0,0.0
CUST_000185,48.6,15.3,72.03,70.95,940.98,0.4087,2,0,1.2
CUST_000186,45.7,30.3,98.25,23.8,2571.13,-0.384,2,1,1.7
CUST_000187,39.1,35.7,72.8,63.51,2856.18,-1.0609,2,1,1.7
CUST_000188,29.8,30.6,64.24,18.77,2227.62,0.232,2,1,1.7
CUST_000189,21.8,58.5,97.47,60.14,6527.72,1.8359,0,1,0.0
CUST_000190,34.6,1.3,108.59,74.07,117.83,0.642,2,1,1.2
CUST_000191,50.3,46.4,20.0,30.11,1005.06,-1.4198,1,1,0.5
CUST_000192,42.6,25.9,87.23,42.25,2147.81,0.9372,2,1,1.7
CUST_000193,25.1,4.6,124.46,11.2,488.78,-1.4615,2,0,1.2
CUST_000194,42.1,27.5,99.86,11.11,2208.79,0.9669,1,0,0.8
CUST_000195,44.6,17.2,85.07,13.63,1309.77,-1.4522,0,0,0.0
CUST_000196,29.4,10.7,40.1,74.69,470.36,1.6804,2,0,1.2
CUST_000197,41.8,6.8,31.66,30.74,186.35,-0.9064,0,0,0.0
CUST_000198,40.7,15.0,58.81,25.73,946.33,0.2656,2,0,1.2
CUST_000199,26.3,6.6,21.12,28.11,138.05,1.1514,2,1,1.2
CUST_000200,44.3,2.1,86.96,32.85,173.95,-0.0456,0,0,0.0
CUST_000201,46.7,44.9,45.9,39.22,2453.89,1.013,2,0,1.7
CUST_000202,53.0,21.6,105.78,30.82,2468.14,-1.2683,1,1,0.5
CUST_000203,52.6,10.8,57.47,41.35,609.93,-0.8916,0,0,0.0
CUST_000204,23.5,14.2,20.0,41.56,332.31,0.0737,1,0,0.5
CUST_000205,28.7,48.0,41.06,83.52,2033.88,0.2652,0,1,0.0
CUST_000206,46.2,9.3,104.49,21.99,1016.72,1.1387,2,0,1.2
CUST_000207,46.2,11.5,167.96,36.89,1775.98,0.0163,0,0,0.0
CUST_000208,46.2,34.9,72.34,54.82,2534.39,1.2918,1,0,0.5
CUST_000209,75.0,5.4,110.1,77.93,679.24,1.1185,1,1,0.5
CUST_000210,46.9,25.8,77.73,45.44,2303.75,-0.1794,1,0,0.5
CUST_000211,53.6,13.7,75.73,7.95,1047.85,-3.4714,0,0,0.0
CUST_000212,51.4,16.6,47.04,71.68,678.52,-1.3322,0,0,0.0
CUST_000213,47.8,37.1,87.77,17.8,3320.75,0.7583,2,1,1.7
CUST_000214,36.2,119.5,55.12,58.93,6652.39,-0.0102,1,1,0.5
CUST_000215,49.1,42.7,270.97,39.49,10592.19,-0.4639,2,1,1.7
CUST_000216,30.7,4.2,52.45,59.26,214.22,-0.0313,0,0,0.0
CUST_000217,37.2,6.1,103.64,0.87,712.66,-1.7663,0,0,0.0
CUST_000218,34.2,12.7,38.36,42.33,575.45,-1.2091,0,1,0.0
CUST_000219,41.0,30.5,76.74,51.16,2144.02,-0.6456,2,0,1.7
CUST_000220,67.8,17.1,40.12,36.03,696.7,-2.4898,2,0,1.2
CUST_000221,18.0,55.7,57.06,50.78,3134.69,-1.0987,1,0,0.5
CUST_000222,48.2,1.2,196.41,46.97,216.35,0.2797,0,1,0.0
CUST_000223,20.6,7.2,86.82,35.21,574.04,-0.9532,2,1,1.2
CUST_000224,34.3,5.9,174.66,24.06,954.22,-0.1554,1,1,0.8
CUST_000225,53.1,32.7,76.05,52.43,2982.61,-2.095,0,1,0.0
CUST_000226,40.8,15.0,162.04,38.62,2643.82,-2.1629,2,1,1.7
CUST_000227,27.1,1.0,173.22,35.59,195.13,0.2556,1,1,0.5
CUST_000228,31.4,35.6,159.2,37.5,6103.26,0.8308,2,0,1.7
CUST_000229,48.2,10.8,192.62,49.0,2008.56,-1.7297,2,0,1.7
CUST_000230,31.2,7.2,133.0,20.67,904.29,-1.8909,0,0,0.0
CUST_000231,42.6,4.8,63.92,61.49,307.11,-0.1059,0,1,0.0
CUST_000232,40.5,70.1,28.99,12.12,1853.35,-0.0728,0,0,0.0
CUST_000233,32.2,68.4,48.96,59.47,3305.9,0.8645,2,0,1.7
CUST_000234,65.7,1.9,123.14,11.34,252.69,-0.0895,2,0,1.2
CUST_000235,47.6,6.4,219.22,45.78,1576.06,0.6366,2,1,1.2
CUST_000236,18.0,24.9,133.14,33.59,3095.6,-0.4984,2,0,1.7
CUST_000237,42.2,26.6,70.15,62.14,1644.85,-0.5034,2,0,1.2
CUST_000238,32.1,13.0,64.01,45.75,735.85,-0.8787,1,0,0.5
CUST_000239,50.2,20.2,92.56,27.89,2169.29,-0.0411,0,0,0.0
CUST_000240,30.5,29.1,146.29,25.77,4289.1,0.7547,2,0,1.7
CUST_000241,38.6,72.1,92.63,12.55,6889.06,0.9882,2,1,1.7
CUST_000242,46.1,31.0,60.34,62.48,2140.42,-0.3557,1,1,0.5
CUST_000243,50.4,2.8,45.64,25.38,112.3,0.7006,2,1,1.2
CUST_000244,25.6,30.4,50.76,57.62,1496.94,0.0205,2,1,1.2
CUST_000245,36.0,1.7,51.62,29.24,97.9,0.9891,0,0,0.0
CUST_000246,34.3,16.8,85.51,68.74,1362.22,-1.2121,1,0,0.5
CUST_000247,32.2,18.0,47.12,45.57,913.95,-0.1756,1,1,0.5
CUST_000248,61.2,36.2,57.53,32.16,2283.26,0.8583,2,1,1.7
CUST_000249,44.9,1.0,155.8,80.53,167.8,-0.3773,1,1,0.5
CUST_000250,24.9,49.9,143.96,23.74,8523.56,0.3228,2,1,1.7
CUST_000251,51.0,26.2,349.71,30.03,10871.32,0.0561,2,1,1.7
CUST_000252,65.5,1.0,118.21,20.92,109.87,0.4277,0,0,0.0
CUST_000253,52.4,4.2,29.2,48.49,105.62,-0.8756,0,0,0.0
CUST_000254,21.8,1.0,26.24,38.7,30.49,-2.0397,0,0,0.0
CUST_000255,34.2,34.9,99.63,28.27,4152.93,0.7444,1,0,0.8
CUST_000256,55.2,4.5,86.61,9.08,383.25,0.6759,2,1,1.2
CUST_000257,31.5,1.1,73.7,73.85,75.24,0.1238,0,1,0.0
CUST_000258,45.3,3.6,35.0,34.06,111.44,1.3322,2,0,1.2
CUST_000259,49.3,19.7,41.72,8.82,740.33,0.0393,0,0,0.0
CUST_000260,28.9,16.4,212.82,89.19,4027.15,-0.0286,1,0,0.5
CUST_000261,39.3,6.8,203.57,44.67,1226.99,-0.1627,2,1,1.2
CUST_000262,18.0,68.7,111.25,46.98,8698.49,0.901,1,0,0.5
CUST_000263,27.7,46.3,148.23,50.45,6842.86,-0.0256,1,0,0.5
CUST_000264,37.0,9.1,35.96,22.95,342.24,1.1384,2,1,1.2
CUST_000265,25.0,15.4,115.96,25.37,1601.77,-0.6041,2,0,1.2
CUST_000266,59.6,17.5,53.53,34.62,788.43,-1.9914,2,0,1.2
CUST_000267,22.8,33.9,243.63,30.94,9039.21,0.5311,2,1,1.7
CUST_000268,34.7,13.4,132.55,40.04,1425.35,0.4454,0,0,0.0
CUST_000269,41.6,19.0,26.1,54.73,583.35,1.8085,2,1,1.2
CUST_000270,57.3,12.8,33.87,62.22,509.37,2.4052,1,1,0.5
CUST_000271,22.8,34.5,84.3,40.75,3246.71,-1.192,2,1,1.7
CUST_000272,54.0,19.5,43.52,17.63,877.34,1.5755,2,1,1.2
CUST_000273,40.1,42.2,219.83,21.23,7999.72,0.1504,2,1,1.7
CUST_000274,28.2,1.3,20.42,78.62,28.7,-0.3771,1,0,0.5
CUST_000275,45.5,56.3,85.11,9.45,5726.69,0.4905,0,0,0.0
CUST_000276,42.4,41.1,25.32,19.8,888.41,-0.3251,2,0,1.2
CUST_000277,32.8,41.0,66.52,33.49,2251.3,-0.03,2,0,1.7
CUST_000278,40.8,3.6,33.36,79.8,102.53,0.2429,1,1,0.5
CUST_000279,35.4,7.3,85.11,23.49,534.83,0.3484,2,1,1.2
CUST_000280,41.4,94.2,43.3,80.84,3329.68,1.4816,1,0,0.5
CUST_000281,47.9,72.0,51.71,13.87,3966.61,1.2852,1,1,0.8
CUST_000282,59.0,6.2,210.83,38.78,1454.81,-1.2206,2,1,1.2
CUST_000283,25.1,13.6,62.9,44.41,889.31,1.1162,0,1,0.0
CUST_000284,65.6,4.1,20.0,7.91,75.64,-0.6201,0,1,0.0
CUST_000285,18.0,7.3,78.8,17.17,580.47,0.6323,1,1,0.8
CUST_000286,38.2,4.9,278.99,46.28,1312.07,0.2092,2,1,1.2
CUST_000287,47.1,2.0,120.03,69.65,262.04,0.1719,0,1,0.0
CUST_000288,43.4,20.8,188.46,21.85,4520.1,1.8847,1,1,0.8
CUST_000289,32.5,6.6,55.22,62.16,380.97,-0.1403,2,0,1.2
CUST_000290,37.5,116.6,149.82,63.01,19734.74,0.4751,2,0,1.7
CUST_000291,34.1,17.4,62.39,14.92,922.24,2.0382,1,1,0.8
CUST_000292,32.9,10.7,116.22,38.44,1398.32,-0.4733,1,0,0.5
CUST_000293,50.2,58.6,229.95,36.83,13888.81,-0.4284,2,1,1.7
CUST_000294,44.3,23.3,38.1,32.55,855.82,0.7902,2,1,1.2
CUST_000295,31.7,3.3,21.38,20.83,77.24,-1.6486,1,1,0.8
CUST_000296,50.8,16.5,64.28,37.79,891.19,0.158,2,1,1.2
CUST_000297,43.7,14.0,117.14,41.83,1566.77,0.4159,1,1,0.5
CUST_000298,49.8,34.8,336.22,36.85,9526.98,0.0651,2,1,1.7
CUST_000299,47.6,28.4,96.55,52.44,3238.7,0.1975,0,0,0.0
CUST_000300,30.1,11.1,148.59,59.58,1541.78,0.6511,2,0,1.2
CUST_000301,33.3,15.2,51.99,37.73,757.86,-0.3465,2,1,1.2
CUST_000302,49.0,17.6,53.17,11.08,1024.99,-1.222,2,1,1.2
CUST_000303,47.3,13.2,118.78,28.61,1818.27,0.4896,1,0,0.8
CUST_000304,39.7,2.7,320.63,42.06,979.32,0.8049,0,0,0.0
CUST_000305,41.4,56.6,91.77,50.81,4757.99,0.0298,1,0,0.5
CUST_000306,55.3,26.8,111.35,27.8,2683.74,-0.5844,2,0,1.7
CUST_000307,32.9,15.2,52.17,5.86,917.56,-0.32,1,1,0.8
CUST_000308,46.6,20.2,57.31,17.35,942.79,-0.2639,2,1,1.2
CUST_000309,37.6,5.8,220.69,34.83,1234.95,1.4456,2,0,1.2
CUST_000310,37.4,18.1,28.1,54.94,518.89,1.0224,2,1,1.2
CUST_000311,53.2,32.9,48.92,56.65,1459.91,1.7525,2,1,1.2
CUST_000312,49.9,18.3,74.34,68.24,1585.37,-0.9768,2,1,1.2
CUST_000313,49.8,15.7,98.21,22.55,1460.75,0.3387,0,0,0.0
CUST_000314,55.7,14.9,83.77,27.86,1127.59,-1.3577,0,1,0.0
CUST_000315,40.3,34.4,169.45,32.9,6520.02,-0.6995,0,0,0.0
CUST_000316,48.2,33.6,958.12,39.23,29344.27,-0.8583,2,1,1.7
CUST_000317,36.3,33.3,38.64,56.05,1528.45,-0.2868,1,1,0.5
CUST_000318,43.9,6.8,111.95,22.48,627.08,0.8634,1,0,0.8
CUST_000319,38.4,23.1,52.59,37.3,1171.9,1.7445,2,1,1.2
CUST_000320,41.2,36.2,189.24,37.24,7160.64,1.129,2,1,1.7
CUST_000321,47.1,19.8,392.7,47.45,6842.87,0.2814,2,1,1.7
CUST_000322,30.2,36.2,86.09,45.84,3135.68,1.2734,1,0,0.5
CUST_000323,65.1,46.2,200.93,24.58,9097.2,-1.9616,2,0,1.7
CUST_000324,27.9,4.6,41.52,46.06,167.49,0.3395,0,0,0.0
CUST_000325,25.4,8.8,248.08,9.24,2477.29,0.0293,0,0,0.0
CUST_000326,53.9,22.1,357.78,21.72,6955.11,0.9543,2,0,1.7
CUST_000327,49.5,8.2,81.07,31.87,729.38,-0.435,2,0,1.2
CUST_000328,47.5,68.1,153.94,49.72,11084.18,-1.9577,1,0,0.5
CUST_000329,47.5,5.2,33.2,62.61,171.3,-1.1877,2,1,1.2
CUST_000330,39.9,10.6,54.81,52.27,635.16,0.5507,0,1,0.0
CUST_000331,29.2,120.0,139.13,48.95,13819.37,-0.2085,0,0,0.0
CUST_000332,40.9,5.0,601.08,43.11,2507.44,0.4926,0,0,0.0
CUST_000333,31.9,14.3,21.0,68.05,270.3,-0.3312,1,1,0.5
CUST_000334,51.7,9.0,105.12,44.73,892.64,1.4039,1,1,0.5
CUST_000335,38.2,39.8,247.36,31.86,10314.36,0.8091,2,1,1.7
CUST_000336,30.1,8.7,389.2,41.39,3989.37,-0.1881,2,1,1.7
CUST_000337,36.1,4.2,76.69,26.93,384.99,1.5213,1,0,0.8
CUST_000338,45.0,64.9,253.79,39.05,13476.89,0.5631,2,1,1.7
